DATE,DEXUSEU,DEXUSUK,DEXINUS
03-01-2000,1.0155,1.627,43.55
04-01-2000,1.0309,1.637,43.55
05-01-2000,1.0335,1.6415,43.55
06-01-2000,1.0324,1.6475,43.55
07-01-2000,1.0294,1.6384,43.55
10-01-2000,1.0252,1.6374,43.55
11-01-2000,1.0322,1.648,43.6
12-01-2000,1.0281,1.6465,43.6
13-01-2000,1.027,1.6482,43.55
14-01-2000,1.0128,1.6353,43.55
17-01-2000,,,
18-01-2000,1.0121,1.638,43.6
19-01-2000,1.0115,1.6438,43.6
20-01-2000,1.0133,1.6538,43.6
21-01-2000,1.01,1.6504,43.6
24-01-2000,1.0019,1.652,43.62
25-01-2000,1.0041,1.6482,43.59
26-01-2000,1.0011,1.6395,43.65
27-01-2000,0.989,1.6363,43.63
28-01-2000,0.9765,1.621,43.65
31-01-2000,0.9757,1.6182,43.65
01-02-2000,0.9731,1.615,43.62
02-02-2000,0.9768,1.606,43.65
03-02-2000,0.9887,1.6025,43.65
04-02-2000,0.976,1.5915,43.65
07-02-2000,0.9783,1.5917,43.64
08-02-2000,0.9862,1.6105,43.63
09-02-2000,0.9914,1.6115,43.65
10-02-2000,0.9865,1.6057,43.58
11-02-2000,0.9847,1.5923,43.65
14-02-2000,0.9783,1.589,43.65
15-02-2000,0.9834,1.595,43.64
16-02-2000,0.9842,1.604,43.75
17-02-2000,0.9863,1.605,43.68
18-02-2000,0.985,1.5984,43.68
21-02-2000,,,
22-02-2000,1.006,1.6165,43.65
23-02-2000,1.0017,1.6047,43.68
24-02-2000,0.9931,1.5981,43.65
25-02-2000,0.9763,1.5908,43.65
28-02-2000,0.9669,1.5935,43.68
29-02-2000,0.9643,1.578,43.65
01-03-2000,0.97,1.5849,43.63
02-03-2000,0.9619,1.5765,43.65
03-03-2000,0.9618,1.581,43.65
06-03-2000,0.9603,1.5732,43.63
07-03-2000,0.956,1.5772,43.63
08-03-2000,0.9576,1.5855,43.65
09-03-2000,0.9684,1.5815,43.63
10-03-2000,0.9659,1.5793,43.65
13-03-2000,0.9648,1.5782,43.65
14-03-2000,0.9644,1.5725,43.64
15-03-2000,0.9696,1.573,43.65
16-03-2000,0.971,1.5747,43.58
17-03-2000,0.9694,1.5705,43.65
20-03-2000,0.971,1.5686,43.63
21-03-2000,0.9703,1.5725,43.59
22-03-2000,0.9608,1.5705,43.65
23-03-2000,0.9691,1.583,43.65
24-03-2000,0.9724,1.591,43.65
27-03-2000,0.9645,1.5855,43.62
28-03-2000,0.9614,1.5872,43.65
29-03-2000,0.9524,1.587,43.65
30-03-2000,0.9594,1.5922,43.65
31-03-2000,0.9574,1.5922,43.65
03-04-2000,0.956,1.598,43.632
04-04-2000,0.9588,1.5965,43.65
05-04-2000,0.9647,1.59,43.68
06-04-2000,0.958,1.58,43.65
07-04-2000,0.959,1.583,43.67
10-04-2000,0.9588,1.5828,43.66
11-04-2000,0.9591,1.5873,43.68
12-04-2000,0.9551,1.5882,43.7
13-04-2000,0.9524,1.5881,43.7
14-04-2000,0.9564,1.586,43.75
17-04-2000,0.955,1.5853,43.68
18-04-2000,0.9477,1.5764,43.7
19-04-2000,0.9369,1.5777,43.7
20-04-2000,0.9376,1.5801,43.687
21-04-2000,0.9379,1.5785,43.7
24-04-2000,0.9396,1.58,43.655
25-04-2000,0.9265,1.5787,43.7
26-04-2000,0.9217,1.5795,43.7
27-04-2000,0.9083,1.5748,43.7
28-04-2000,0.9089,1.556,43.7
01-05-2000,0.912,1.5558,43.67
02-05-2000,0.9068,1.559,43.75
03-05-2000,0.8891,1.5605,43.73
04-05-2000,0.8907,1.5435,43.67
05-05-2000,0.8953,1.5288,43.7
08-05-2000,0.895,1.531,43.7
09-05-2000,0.9023,1.5315,43.7
10-05-2000,0.9097,1.5153,44.3
11-05-2000,0.9021,1.4997,44.44
12-05-2000,0.908,1.5172,44.15
15-05-2000,0.9138,1.5075,44.44
16-05-2000,0.9053,1.5008,44.05
17-05-2000,0.8921,1.4905,44.02
18-05-2000,0.8952,1.4818,44.03
19-05-2000,0.8946,1.4855,44
22-05-2000,0.9036,1.4907,44.02
23-05-2000,0.9032,1.4728,44.15
24-05-2000,0.9096,1.4755,44.25
25-05-2000,0.9072,1.4705,44.2
26-05-2000,0.931,1.4875,44.4
29-05-2000,,,
30-05-2000,0.9314,1.495,44.65
31-05-2000,0.9328,1.4968,44.65
01-06-2000,0.9307,1.4915,44.65
02-06-2000,0.9432,1.5079,44.7
05-06-2000,0.9471,1.5135,44.75
06-06-2000,0.957,1.5235,44.75
07-06-2000,0.96,1.5225,44.83
08-06-2000,0.9548,1.506,44.85
09-06-2000,0.9526,1.5079,44.85
12-06-2000,0.9544,1.512,44.85
13-06-2000,0.9619,1.513,44.8
14-06-2000,0.959,1.5023,44.72
15-06-2000,0.953,1.5103,44.8
16-06-2000,0.9648,1.5165,44.83
19-06-2000,0.9622,1.5154,44.85
20-06-2000,0.9557,1.51,44.75
21-06-2000,0.9455,1.497,44.7
22-06-2000,0.9398,1.511,44.7
23-06-2000,0.9358,1.501,44.75
26-06-2000,0.9382,1.499,44.75
27-06-2000,0.9444,1.5,44.7
28-06-2000,0.9444,1.5107,44.72
29-06-2000,0.9515,1.5194,44.73
30-06-2000,0.9545,1.513,44.7
03-07-2000,0.9526,1.5135,44.72
04-07-2000,,,
05-07-2000,0.9548,1.512,44.69
06-07-2000,0.9527,1.512,44.81
07-07-2000,0.9484,1.5143,44.78
10-07-2000,0.9521,1.5137,44.75
11-07-2000,0.9497,1.514,44.75
12-07-2000,0.9401,1.5068,44.75
13-07-2000,0.9339,1.499,44.78
14-07-2000,0.9374,1.499,44.78
17-07-2000,0.9351,1.492,44.74
18-07-2000,0.9322,1.4945,44.83
19-07-2000,0.9237,1.4942,44.85
20-07-2000,0.9292,1.5094,45.02
21-07-2000,0.9343,1.5167,44.8
24-07-2000,0.9314,1.514,44.77
25-07-2000,0.9391,1.519,44.95
26-07-2000,0.9413,1.5154,44.98
27-07-2000,0.9331,1.5116,44.95
28-07-2000,0.9246,1.5025,44.96
31-07-2000,0.9266,1.4983,45.15
01-08-2000,0.9228,1.4992,45.15
02-08-2000,0.9137,1.4926,45.4
03-08-2000,0.9042,1.4947,45.4
04-08-2000,0.9075,1.5022,45.4
07-08-2000,0.9105,1.507,45.62
08-08-2000,0.9019,1.5022,45.8
09-08-2000,0.8991,1.4992,45.7
10-08-2000,0.9077,1.498,45.9
11-08-2000,0.9046,1.504,45.9
14-08-2000,0.9037,1.506,45.85
15-08-2000,0.9135,1.5056,45.8
16-08-2000,0.9143,1.4988,45.8
17-08-2000,0.9152,1.4992,45.95
18-08-2000,0.9068,1.4895,45.9
21-08-2000,0.9027,1.49,45.73
22-08-2000,0.8965,1.4797,45.75
23-08-2000,0.8967,1.4813,45.9
24-08-2000,0.9028,1.4806,46.05
25-08-2000,0.9024,1.4745,46.05
28-08-2000,0.9002,1.4716,45.83
29-08-2000,0.8966,1.4616,46
30-08-2000,0.8924,1.456,45.9
31-08-2000,0.8878,1.4515,45.9
01-09-2000,0.8993,1.4605,45.8
04-09-2000,,,
05-09-2000,0.8876,1.4522,45.74
06-09-2000,0.8702,1.4455,45.65
07-09-2000,0.874,1.438,46.05
08-09-2000,0.8664,1.4196,45.73
11-09-2000,0.8624,1.4123,45.65
12-09-2000,0.8596,1.402,45.7
13-09-2000,0.864,1.4125,45.7
14-09-2000,0.8617,1.406,45.8
15-09-2000,0.8572,1.4005,45.85
18-09-2000,0.8523,1.4015,46.15
19-09-2000,0.8514,1.408,46.45
20-09-2000,0.8462,1.4107,46.3
21-09-2000,0.8558,1.428,46.09
22-09-2000,0.8793,1.4568,46.18
25-09-2000,0.8738,1.454,46.16
26-09-2000,0.8815,1.46,46.1
27-09-2000,0.8805,1.4607,46.15
28-09-2000,0.8826,1.4635,46.05
29-09-2000,0.8837,1.4787,46.06
02-10-2000,0.8806,1.4675,46.1
03-10-2000,0.8741,1.4565,46.18
04-10-2000,0.8726,1.4558,46.17
05-10-2000,0.8685,1.4502,46.17
06-10-2000,0.868,1.4445,46.17
09-10-2000,,,
10-10-2000,0.8682,1.4484,46.25
11-10-2000,0.8715,1.462,46.35
