Date,EU_STOXX50,UK_FTSE100,US_SP500,INR_NIFTY50
15-05-2020,2770.7,5799.77,286.28,9136.85
14-05-2020,2760.23,5741.54,284.97,9142.75
13-05-2020,2810.55,5904.05,281.6,9383.55
12-05-2020,2884.2,5994.77,286.67,9196.55
11-05-2020,2883.75,5939.73,292.5,9239.2
08-05-2020,2908.11,,292.44,9251.5
07-05-2020,2880.6,5935.98,287.68,9199.05
06-05-2020,2843.76,5853.76,284.25,9270.9
05-05-2020,2875.91,5849.42,286.19,9205.6
04-05-2020,2816.48,5753.78,283.57,9293.5
01-05-2020,,5763.06,282.79,
30-04-2020,2927.93,5901.21,290.48,9859.9
29-04-2020,2996.08,6115.25,293.21,9553.35
28-04-2020,2932.06,5958.5,285.73,9380.9
27-04-2020,2882.09,5846.79,287.05,9282.3
24-04-2020,2809.07,5752.23,282.97,9154.4
23-04-2020,2852.46,5826.61,279.08,9313.9
22-04-2020,2834.9,5770.63,279.1,9187.3
21-04-2020,2791.34,5641.03,273.04,8981.45
20-04-2020,2909.5,5812.83,281.59,9261.85
17-04-2020,2888.3,5786.96,286.64,9266.75
16-04-2020,2812.35,5628.43,279.1,8992.8
15-04-2020,2808.2,5597.65,277.76,8925.3
14-04-2020,2917.74,5791.31,283.79,
13-04-2020,,5842.66,275.66,8993.85
10-04-2020,,5842.66,,
09-04-2020,2892.79,5842.66,278.2,9111.9
08-04-2020,2851.27,5677.73,274.03,8748.75
07-04-2020,2857.67,5704.45,265.13,8792.2
06-04-2020,2795.97,5582.39,264.86,
03-04-2020,2662.99,5415.5,248.19,8083.8
02-04-2020,2688.49,5480.22,251.83,
01-04-2020,2680.3,5454.57,246.15,8253.8
31-03-2020,2786.9,5671.96,257.75,8597.75
30-03-2020,2765.62,5563.74,261.65,8281.1
27-03-2020,2728.65,5510.33,253.42,8660.25
26-03-2020,2847.78,5815.73,261.2,8641.45
25-03-2020,2800.14,5688.2,246.79,8317.85
24-03-2020,2715.11,5446.01,243.15,7801.05
23-03-2020,2485.54,4993.89,222.95,7610.25
20-03-2020,2548.5,5190.78,228.8,8745.45
19-03-2020,2454.08,5151.61,240.51,8263.45
18-03-2020,2385.82,5080.58,240,8468.8
17-03-2020,2530.5,5294.9,252.8,8967.05
16-03-2020,2450.37,5151.08,239.85,9197.4
13-03-2020,2586.02,5366.11,269.32,9955.2
12-03-2020,2545.23,5237.48,248.11,9590.15
11-03-2020,2905.56,5876.52,274.36,10458.4
10-03-2020,2910.02,5960.23,288.42,
09-03-2020,2959.07,5965.77,274.23,10451.45
06-03-2020,3232.07,6462.55,297.46,10989.45
05-03-2020,3363.58,6705.43,302.46,11269
04-03-2020,3420.56,6815.59,312.86,11251
03-03-2020,3371.97,6718.2,300.24,11303.3
02-03-2020,3338.83,6654.89,309.09,11132.75
28-02-2020,3329.49,6580.61,296.26,11201.75
27-02-2020,3455.92,6796.4,297.51,11633.3
26-02-2020,3577.68,7042.47,311.5,11678.5
25-02-2020,3572.51,7017.88,312.65,11797.9
24-02-2020,3647.98,7156.83,322.42,11829.4
21-02-2020,3800.38,7403.92,333.48,
20-02-2020,3822.98,7436.64,336.95,12080.85
19-02-2020,3865.18,7457.02,338.34,12125.9
18-02-2020,3836.54,7382.01,336.73,11992.5
17-02-2020,3853.27,7433.25,337.6,12045.8
14-02-2020,3840.97,7409.13,337.6,12113.45
13-02-2020,3846.74,7452.03,337.06,12174.65
12-02-2020,3854.43,7534.37,337.42,12201.2
11-02-2020,3825.84,7499.44,335.26,12107.9
10-02-2020,3793.18,7446.88,334.68,12031.5
07-02-2020,3798.49,7466.7,332.2,12098.35
06-02-2020,3805.52,7504.79,333.98,12137.95
05-02-2020,3777.84,7482.48,332.86,12089.15
04-02-2020,3732.28,7439.82,329.06,11979.65
03-02-2020,3661.27,7326.31,324.12,11707.9
31-01-2020,3640.91,7286.01,321.73,11962.1
30-01-2020,3690.78,7381.96,327.68,12035.8
29-01-2020,3736.36,7483.57,326.62,12129.5
28-01-2020,3719.22,7480.69,326.89,12055.8
27-01-2020,3677.84,7412.05,323.5,12119
24-01-2020,3779.16,7585.98,328.77,12248.25
23-01-2020,3736.85,7507.67,331.72,12180.35
22-01-2020,3769.79,7571.92,331.34,12106.9
21-01-2020,3789.12,7610.7,331.3,12169.85
20-01-2020,3799.03,7651.44,,12224.55
17-01-2020,3808.26,7674.56,331.95,12352.35
16-01-2020,3774.14,7609.81,330.92,12355.5
15-01-2020,3768.96,7642.8,328.19,12343.3
14-01-2020,3774.88,7622.35,327.45,12362.3
13-01-2020,3779.68,7617.6,327.95,12329.55
10-01-2020,3789.52,7587.85,325.71,12256.8
09-01-2020,3795.88,7598.12,326.65,12215.9
08-01-2020,3772.56,7574.93,324.45,12025.35
07-01-2020,3759.25,7573.85,322.73,12052.95
06-01-2020,3752.52,7575.34,323.64,11993.05
03-01-2020,3773.37,7622.4,322.41,12226.65
02-01-2020,3793.24,7604.3,324.87,12282.2
01-01-2020,,,,12182.5
31-12-2019,3745.15,7542.44,321.86,12168.45
30-12-2019,3748.47,7587.05,321.08,12255.85
27-12-2019,3782.27,7644.9,322.86,12245.8
26-12-2019,,7632.24,322.94,12126.55
25-12-2019,,7632.24,,
24-12-2019,3774.39,7632.24,321.23,12214.55
23-12-2019,3776.66,7623.59,321.22,12262.75
20-12-2019,3776.56,7582.48,320.73,12271.8
19-12-2019,3739.17,7573.82,320.9,12259.7
18-12-2019,3739,7540.75,319.59,12221.65
17-12-2019,3745.28,7525.28,319.57,12165
16-12-2019,3772.74,7519.05,319.5,12053.95
